dinu_pt_loss,epoch,higgs_mass_loss,loss,mae_loss,neg_r2_loss,nu_mass_loss,step,val_dinu_pt_loss,val_higgs_mass_loss,val_loss,val_mae_loss,val_neg_r2_loss,val_nu_mass_loss,val_w0_mass_mae_loss,val_w1_mass_mae_loss,val_w_mass_mmd0_loss,val_w_mass_mmd1_loss,w0_mass_mae_loss,w1_mass_mae_loss,w_mass_mmd0_loss,w_mass_mmd1_loss
,0,,,,,,515,66.50621032714844,64.84458923339844,69.28387451171875,34.8531608581543,-0.6864380836486816,0.004425679799169302,37.72311782836914,38.08364486694336,1.405625581741333,1.4635995626449585,,,,
66.35285186767578,0,71.27072143554688,80.62982177734375,34.9066276550293,-0.6840283870697021,0.0034369369968771935,515,,,,,,,,,,,41.30386734008789,41.73973846435547,1.8653709888458252,1.944891095161438
,1,,,,,,1031,66.49925231933594,56.2594108581543,59.97208023071289,34.72996520996094,-0.6874642372131348,0.005787309724837542,33.56010055541992,34.03083419799805,1.0255926847457886,1.077916145324707,,,,
66.4599609375,1,61.00691223144531,64.22856140136719,34.80316925048828,-0.6848881840705872,0.00507192499935627,1031,,,,,,,,,,,35.510738372802734,35.954429626464844,1.2039375305175781,1.248181939125061
,2,,,,,,1547,66.39974212646484,49.20922088623047,55.34241485595703,34.60917282104492,-0.6885685324668884,0.006857031490653753,31.61497688293457,31.939105987548828,0.8410843014717102,0.8866872787475586,,,,
66.38169860839844,2,53.241886138916016,57.76848602294922,34.6807861328125,-0.6857950091362,0.006267155054956675,1547,,,,,,,,,,,32.634849548339844,33.070701599121094,0.9433924555778503,0.9805845022201538
,3,,,,,,2063,66.42157745361328,40.80134201049805,50.7867317199707,34.48834991455078,-0.6899247765541077,0.008081958629190922,30.218952178955078,30.42632293701172,0.6583355069160461,0.6998623609542847,,,,
66.32427978515625,3,45.28527069091797,53.214622497558594,34.55382537841797,-0.6871995329856873,0.007434893399477005,2063,,,,,,,,,,,30.970022201538086,31.2479305267334,0.7619892954826355,0.7930771708488464
,4,,,,,,2579,66.64786529541016,32.95663833618164,46.984859466552734,34.39216613769531,-0.6911194920539856,0.009255473501980305,28.993310928344727,29.144315719604492,0.5029256939888,0.5464645624160767,,,,
66.46147918701172,4,37.441680908203125,49.116432189941406,34.44404602050781,-0.6884545683860779,0.008616163395345211,2579,,,,,,,,,,,29.5773983001709,29.725522994995117,0.5968639850616455,0.6258333921432495
,5,,,,,,3095,66.95842742919922,25.966503143310547,44.78982925415039,34.31930923461914,-0.6920938491821289,0.010339158587157726,28.39517593383789,28.496417999267578,0.4096291959285736,0.46291473507881165,,,,
66.68511962890625,5,30.526065826416016,46.05137634277344,34.34870147705078,-0.6896538138389587,0.009652308188378811,3095,,,,,,,,,,,28.33930778503418,28.392681121826172,0.47251302003860474,0.502714216709137
,6,,,,,,3611,66.55001068115234,21.75210952758789,43.14862060546875,34.1859245300293,-0.693149209022522,0.011078564450144768,27.22298240661621,27.25440788269043,0.3431015610694885,0.40378913283348083,,,,
66.48463439941406,6,24.825536727905273,44.07871627807617,34.22825622558594,-0.690664529800415,0.010576092638075352,3611,,,,,,,,,,,27.454875946044922,27.456716537475586,0.3872235417366028,0.43364763259887695
,7,,,,,,4127,66.26457214355469,18.460542678833008,42.206016540527344,34.0973014831543,-0.693958580493927,0.011622189544141293,26.793500900268555,26.87567901611328,0.30998581647872925,0.36574068665504456,,,,
66.11266326904297,7,20.23031234741211,42.68359375,34.104488372802734,-0.6915519833564758,0.011350344866514206,4127,,,,,,,,,,,26.77646827697754,26.855897903442383,0.3314059376716614,0.38352081179618835
,8,,,,,,4643,65.91793823242188,13.049894332885742,41.48041915893555,34.013954162597656,-0.6950862407684326,0.01253244373947382,26.614421844482422,26.911827087402344,0.2832587957382202,0.338948518037796,,,,
65.81916809082031,8,16.6385498046875,41.64433670043945,34.00658416748047,-0.6926466822624207,0.011994270607829094,4643,,,,,,,,,,,26.036832809448242,26.207012176513672,0.288902223110199,0.3475760221481323
,9,,,,,,5159,65.22743225097656,10.577338218688965,40.674400329589844,33.89978790283203,-0.6960738301277161,0.012991472147405148,25.95478057861328,26.362411499023438,0.2530640959739685,0.3114863336086273,,,,
65.26355743408203,9,14.021954536437988,40.96574401855469,33.90269088745117,-0.6936131715774536,0.01249684114009142,5159,,,,,,,,,,,25.631120681762695,25.90633773803711,0.26438677310943604,0.32419872283935547
,10,,,,,,5675,65.36770629882812,9.447610855102539,40.759578704833984,33.88858413696289,-0.6965615153312683,0.013262830674648285,26.165727615356445,26.68250846862793,0.2595506012439728,0.31303155422210693,,,,
64.91949462890625,10,12.0360107421875,40.50251388549805,33.83089065551758,-0.6943742036819458,0.012891273945569992,5675,,,,,,,,,,,25.387208938598633,25.80450439453125,0.24950756132602692,0.3064611554145813
,11,,,,,,6191,64.5342025756836,7.333754539489746,40.1844367980957,33.79139709472656,-0.6977020502090454,0.013765368610620499,25.83513069152832,26.40576934814453,0.24264054000377655,0.29011270403862,,,,
64.35343933105469,11,10.369044303894043,40.14939498901367,33.75544357299805,-0.6951612830162048,0.013203895650804043,6191,,,,,,,,,,,25.12916374206543,25.597869873046875,0.23883874714374542,0.29399290680885315
,12,,,,,,6707,63.898292541503906,6.209265232086182,40.14984130859375,33.71182632446289,-0.6985523700714111,0.014009465463459492,25.735166549682617,26.357704162597656,0.2518940567970276,0.28460589051246643,,,,
63.750606536865234,12,9.307368278503418,39.83244705200195,33.67755889892578,-0.696242094039917,0.013509399257600307,6707,,,,,,,,,,,24.998422622680664,25.57916831970215,0.2287498116493225,0.2841545641422272
